County FIPS Code,CZ90,County Name,Distance,Population 1990,CZ80,Rural-urban Continuum Code 1993 (Beale Code),MSA 1993,MSA Name,State Place Code,Name of largest place in Commuting Zone
01001,11101,Autauga County,0.9630,34222,28101,2,5240,"Montgomery, AL MSA",0151000,"Montgomery city, AL"
01003,11001,Baldwin County,0.9600,98280,28201,2,5160,"Mobile, AL MSA",0150000,"Mobile city, AL"
01005,10301,Barbour County,0.9760,25417,28801,6,0000,,0124568,"Eufaula city, AL"
01007,10801,Bibb County,0.9680,16576,28401,6,0000,,0177256,"Tuscaloosa city, AL"
01009,10700,Blount County,0.9710,39248,28401,2,1000,"Birmingham, AL MSA",0107000,"Birmingham city, AL"
01011,09800,Bullock County,0.9630,11042,28102,6,0000,,0103076,"Auburn city, AL"
01013,11101,Butler County,0.9630,21892,28101,7,0000,,0151000,"Montgomery city, AL"
01015,09600,Calhoun County,0.9800,116034,29301,3,0450,"Anniston, AL MSA",0101852,"Anniston city, AL"
01017,09600,Chambers County,0.9800,36876,29601,5,0000,,0101852,"Anniston city, AL"
01019,06600,Cherokee County,0.9800,19543,29301,6,0000,,1366668,"Rome city, GA"
01021,10700,Chilton County,0.9710,32458,28401,6,0000,,0107000,"Birmingham city, AL"
01023,10802,Choctaw County,0.9480,16018,28502,9,0000,,0120296,"Demopolis city, AL"
01025,11001,Clarke County,0.9600,27240,28201,7,0000,,0150000,"Mobile city, AL"
01027,09500,Clay County,0.9030,13252,29501,9,0000,,0174592,"Talladega city, AL"
01029,09600,Cleburne County,0.9800,12730,29301,6,0000,,0101852,"Anniston city, AL"
01031,10302,Coffee County,0.9030,40240,28802,4,0000,,0121184,"Dothan city, AL"
01033,06200,Colbert County,0.9720,51666,34701,3,2650,"Florence, AL MSA",0126896,"Florence city, AL"
01035,11002,Conecuh County,0.9080,14054,28301,7,0000,,0103004,"Atmore city, AL"
01037,09500,Coosa County,0.9030,11063,29501,8,0000,,0174592,"Talladega city, AL"
01039,11102,Covington County,0.9620,36478,28102,7,0000,,0176920,"Troy city, AL"
01041,11102,Crenshaw County,0.9620,13635,28102,6,0000,,0176920,"Troy city, AL"
01043,10700,Cullman County,0.9710,67613,35001,6,0000,,0107000,"Birmingham city, AL"
01045,10302,Dale County,0.9030,49633,28802,3,2180,"Dothan, AL MSA",0121184,"Dothan city, AL"
01047,10801,Dallas County,0.9680,48130,28501,4,0000,,0177256,"Tuscaloosa city, AL"
01049,06100,DeKalb County,0.9620,54651,35401,6,0000,,0128696,"Gadsden city, AL"
01051,11101,Elmore County,0.9630,49210,28101,2,5240,"Montgomery, AL MSA",0151000,"Montgomery city, AL"
01053,11002,Escambia County,0.9080,35518,28301,6,0000,,0103004,"Atmore city, AL"
01055,06100,Etowah County,0.9620,99840,29301,3,2880,"Gadsden, AL MSA",0128696,"Gadsden city, AL"
01057,10600,Fayette County,0.9530,17962,28601,6,0000,,0107000,"Birmingham city, AL"
01059,06200,Franklin County,0.9720,27814,34701,6,0000,,0126896,"Florence city, AL"
01061,10302,Geneva County,0.9030,23647,28802,6,0000,,0121184,"Dothan city, AL"
01063,10802,Greene County,0.9480,10153,28502,8,0000,,0120296,"Demopolis city, AL"
01065,10801,Hale County,0.9680,15498,28401,6,0000,,0177256,"Tuscaloosa city, AL"
01067,10302,Henry County,0.9030,15374,28802,6,0000,,0121184,"Dothan city, AL"
01069,10302,Houston County,0.9030,81331,28802,3,2180,"Dothan, AL MSA",0121184,"Dothan city, AL"
01071,06100,Jackson County,0.9620,47796,35401,6,0000,,0128696,"Gadsden city, AL"
01073,10700,Jefferson County,0.9710,651525,28401,2,1000,"Birmingham, AL MSA",0107000,"Birmingham city, AL"
01075,10600,Lamar County,0.9530,15715,28701,9,0000,,0107000,"Birmingham city, AL"
01077,06200,Lauderdale County,0.9720,79661,34701,3,2650,"Florence, AL MSA",0126896,"Florence city, AL"
01079,06000,Lawrence County,0.9560,31513,35001,3,2030,"Decatur, AL MSA",0137000,"Huntsville city, AL"
01081,09800,Lee County,0.9630,87146,29701,4,0000,,0103076,"Auburn city, AL"
01083,06000,Limestone County,0.9560,54135,35001,2,3440,"Huntsville, AL MSA",0137000,"Huntsville city, AL"
01085,11101,Lowndes County,0.9630,12658,28101,8,0000,,0151000,"Montgomery city, AL"
01087,09800,Macon County,0.9630,24928,29701,6,0000,,0103076,"Auburn city, AL"
01089,06000,Madison County,0.9560,238912,35001,2,3440,"Huntsville, AL MSA",0137000,"Huntsville city, AL"
01091,10802,Marengo County,0.9480,23084,28502,7,0000,,0120296,"Demopolis city, AL"
01093,10600,Marion County,0.9530,29830,28601,7,0000,,0107000,"Birmingham city, AL"
01095,06100,Marshall County,0.9620,70832,35401,4,0000,,0128696,"Gadsden city, AL"
01097,11001,Mobile County,0.9600,378643,28201,2,5160,"Mobile, AL MSA",0150000,"Mobile city, AL"
01099,11002,Monroe County,0.9080,23968,28301,7,0000,,0103004,"Atmore city, AL"
01101,11101,Montgomery County,0.9630,209085,28101,2,5240,"Montgomery, AL MSA",0151000,"Montgomery city, AL"
01103,06000,Morgan County,0.9560,100043,35001,3,2030,"Decatur, AL MSA",0137000,"Huntsville city, AL"
01105,10801,Perry County,0.9680,12759,28501,7,0000,,0177256,"Tuscaloosa city, AL"
01107,10501,Pickens County,0.9280,20699,28701,6,0000,,2815380,"Columbus city, MS"
01109,11102,Pike County,0.9620,27595,28102,6,0000,,0176920,"Troy city, AL"
01111,09600,Randolph County,0.9800,19881,29601,7,0000,,0101852,"Anniston city, AL"
01113,09701,Russell County,0.9530,46860,29701,2,1800,"Columbus, GA-AL MSA",1319030,"Columbus city (remainder), GA"
01115,10700,St. Clair County,0.9710,50009,28401,2,1000,"Birmingham, AL MSA",0107000,"Birmingham city, AL"
