County2012Id,StateCode,CountyName,CountyNumber,FipsCode,PrecintsReporting,TotalPrecincts,CountyTotalVotes,SourceOrder,Party,FirstName,LastName,Votes
2,AK,Alaska,2001,2000,437,438,220596,1,Dem,Barack,Obama,91696
4,AL,Autauga,1001,1001,28,28,23909,1,Dem,Barack,Obama,6354
5,AL,Baldwin,1002,1003,55,55,84988,1,Dem,Barack,Obama,18329
6,AL,Barbour,1003,1005,19,19,11459,1,Dem,Barack,Obama,5873
7,AL,Bibb,1004,1007,10,10,8391,1,Dem,Barack,Obama,2200
8,AL,Blount,1005,1009,28,28,23980,1,Dem,Barack,Obama,2961
9,AL,Bullock,1006,1011,18,18,5318,1,Dem,Barack,Obama,4058
10,AL,Butler,1007,1013,28,28,9483,1,Dem,Barack,Obama,4367
11,AL,Calhoun,1008,1015,54,54,46240,1,Dem,Barack,Obama,15500
12,AL,Chambers,1009,1017,23,23,14562,1,Dem,Barack,Obama,6853
13,AL,Cherokee,1010,1019,26,26,9761,1,Dem,Barack,Obama,2126
14,AL,Chilton,1011,1021,20,20,17434,1,Dem,Barack,Obama,3391
15,AL,Choctaw,1012,1023,34,34,7965,1,Dem,Barack,Obama,3785
16,AL,Clarke,1013,1025,31,31,13827,1,Dem,Barack,Obama,6317
17,AL,Clay,1014,1027,16,16,6640,1,Dem,Barack,Obama,1770
18,AL,Cleburne,1015,1029,17,17,6302,1,Dem,Barack,Obama,971
19,AL,Coffee,1016,1031,34,34,19715,1,Dem,Barack,Obama,4899
20,AL,Colbert,1017,1033,38,38,23374,1,Dem,Barack,Obama,9160
21,AL,Conecuh,1018,1035,28,28,7013,1,Dem,Barack,Obama,3551
22,AL,Coosa,1019,1037,14,14,5243,1,Dem,Barack,Obama,2188
23,AL,Covington,1020,1039,30,30,15415,1,Dem,Barack,Obama,3155
24,AL,Crenshaw,1021,1041,20,20,6411,1,Dem,Barack,Obama,2048
25,AL,Cullman,1022,1043,51,51,33178,1,Dem,Barack,Obama,4855
26,AL,Dale,1023,1045,23,23,18551,1,Dem,Barack,Obama,5283
27,AL,Dallas,1024,1047,31,31,20936,1,Dem,Barack,Obama,14599
